algorithm,word,n_guesses
UnknownLetterExplorerMindingGuessCount,CRUEL,4
UnknownLetterExplorerMindingGuessCount,CRUET,4
UnknownLetterExplorerMindingGuessCount,CRUMB,3
UnknownLetterExplorerMindingGuessCount,CRUSH,3
UnknownLetterExplorerMindingGuessCount,CRUST,3
UnknownLetterExplorerMindingGuessCount,CRYPT,3
UnknownLetterExplorerMindingGuessCount,CUBAN,4
UnknownLetterExplorerMindingGuessCount,CUBED,5
UnknownLetterExplorerMindingGuessCount,CUBES,5
UnknownLetterExplorerMindingGuessCount,CUBIC,4
UnknownLetterExplorerMindingGuessCount,CUBIT,4
UnknownLetterExplorerMindingGuessCount,CUFFS,4
UnknownLetterExplorerMindingGuessCount,BOLES,4
UnknownLetterExplorerMindingGuessCount,BOLLS,5
UnknownLetterExplorerMindingGuessCount,BOLTS,4
UnknownLetterExplorerMindingGuessCount,BOMBS,4
UnknownLetterExplorerMindingGuessCount,BONDS,4
UnknownLetterExplorerMindingGuessCount,BONED,4
UnknownLetterExplorerMindingGuessCount,BONER,4
UnknownLetterExplorerMindingGuessCount,BONES,5
UnknownLetterExplorerMindingGuessCount,BONEY,4
UnknownLetterExplorerMindingGuessCount,BONGO,5
UnknownLetterExplorerMindingGuessCount,BONGS,4
UnknownLetterExplorerMindingGuessCount,BONNY,4
UnknownLetterExplorerMindingGuessCount,BONUS,4
UnknownLetterExplorerMindingGuessCount,BOOBS,5
UnknownLetterExplorerMindingGuessCount,BOOBY,5
UnknownLetterExplorerMindingGuessCount,BOOED,4
UnknownLetterExplorerMindingGuessCount,BOOKS,5
UnknownLetterExplorerMindingGuessCount,BOOLE,3
UnknownLetterExplorerMindingGuessCount,BOOMS,6
UnknownLetterExplorerMindingGuessCount,BOONE,3
UnknownLetterExplorerMindingGuessCount,BOONS,5
UnknownLetterExplorerMindingGuessCount,BOORS,4
UnknownLetterExplorerMindingGuessCount,BOOST,3
UnknownLetterExplorerMindingGuessCount,BOOTH,4
UnknownLetterExplorerMindingGuessCount,BOOTS,5
UnknownLetterExplorerMindingGuessCount,BOOTY,5
UnknownLetterExplorerMindingGuessCount,BOOZE,3
UnknownLetterExplorerMindingGuessCount,BOOZY,5
UnknownLetterExplorerMindingGuessCount,BORAX,4
UnknownLetterExplorerMindingGuessCount,BORED,4
UnknownLetterExplorerMindingGuessCount,BORER,6
UnknownLetterExplorerMindingGuessCount,BORES,4
UnknownLetterExplorerMindingGuessCount,BORIS,4
UnknownLetterExplorerMindingGuessCount,BORNE,4
UnknownLetterExplorerMindingGuessCount,BORON,5
UnknownLetterExplorerMindingGuessCount,BOSCH,4
UnknownLetterExplorerMindingGuessCount,BOSOM,4
UnknownLetterExplorerMindingGuessCount,BOSSY,4
UnknownLetterExplorerMindingGuessCount,BOSUN,5
UnknownLetterExplorerMindingGuessCount,BOTCH,3
UnknownLetterExplorerMindingGuessCount,BOTOX,4
UnknownLetterExplorerMindingGuessCount,BOUGH,5
UnknownLetterExplorerMindingGuessCount,BOUND,5
UnknownLetterExplorerMindingGuessCount,BOUTS,4
UnknownLetterExplorerMindingGuessCount,BOWED,5
UnknownLetterExplorerMindingGuessCount,BOWEL,6
UnknownLetterExplorerMindingGuessCount,BOWEN,4
UnknownLetterExplorerMindingGuessCount,BOWER,5
UnknownLetterExplorerMindingGuessCount,BOWIE,4
UnknownLetterExplorerMindingGuessCount,BOWLS,5
UnknownLetterExplorerMindingGuessCount,BOXED,5
UnknownLetterExplorerMindingGuessCount,BOXER,5
UnknownLetterExplorerMindingGuessCount,BOXES,5
UnknownLetterExplorerMindingGuessCount,BOYER,5
UnknownLetterExplorerMindingGuessCount,BOYLE,4
UnknownLetterExplorerMindingGuessCount,BOZOS,4
UnknownLetterExplorerMindingGuessCount,BRACE,3
UnknownLetterExplorerMindingGuessCount,BRACT,3
UnknownLetterExplorerMindingGuessCount,BRADS,3
UnknownLetterExplorerMindingGuessCount,BRADY,4
UnknownLetterExplorerMindingGuessCount,BRAGG,4
UnknownLetterExplorerMindingGuessCount,BRAGS,3
UnknownLetterExplorerMindingGuessCount,BRAHE,3
UnknownLetterExplorerMindingGuessCount,BRAID,4
UnknownLetterExplorerMindingGuessCount,BRAIN,4
UnknownLetterExplorerMindingGuessCount,BRAKE,4
UnknownLetterExplorerMindingGuessCount,BRAND,5
